ags,t,f,pwi,pwa,pwn
08435053,2099.0,1057.0,10.3,6.4,3.9
08437047,1796.0,883.0,14.3,8.4,5.8
08425052,218.0,118.0,18.3,14.7,3.7
08435034,13714.0,6963.0,10.6,6.2,4.5
08436009,20011.0,10213.0,13.1,7.5,5.6
08426005,498.0,242.0,13.7,7.8,5.8
03255036,565.0,285.0,9.9,7.4,2.5
03255022,558.0,300.0,9,7.5,1.4
08437104,18271.0,8831.0,9.9,6.2,3.7
08437124,3412.0,1726.0,11.1,6.7,4.4
07334001,8519.0,4330.0,8.4,5.2,3.2
08436005,4095.0,1953.0,12.1,6.7,5.5
08437107,4798.0,2412.0,12.5,7.6,4.8
08436040,179.0,94.0,15.1,11.2,3.9
08426058,2237.0,1124.0,12.7,7.2,5.4
08437008,2713.0,1349.0,12.6,8,4.6
08437118,2631.0,1410.0,11.6,7.2,4.4
08436027,491.0,249.0,13,9.2,3.9
08426109,295.0,141.0,12.9,8.8,4.1
08426067,3464.0,1689.0,12.5,7.8,4.7
08435045,4704.0,2321.0,10.4,6.2,4.2
08436019,627.0,311.0,12.4,6.7,5.7
08425036,822.0,406.0,12.9,7.3,5.6
08436078,4495.0,2220.0,13,8.1,4.9
08436047,743.0,362.0,14,7.8,6.2
08426006,301.0,139.0,14.6,8,6.6
08426070,21153.0,10628.0,11.9,6.8,5.1
08436095,5202.0,2530.0,13.7,7.8,5.9
03255010,775.0,400.0,8.5,5.9,2.6
08436001,1680.0,850.0,11.2,6.5,4.7
08435020,3011.0,1519.0,10.6,6.6,3.9
08436077,277.0,141.0,13,9.7,3.2
08436024,1197.0,570.0,12.7,7.9,4.8
08426021,32233.0,16434.0,10.7,6.4,4.3
08437114,2149.0,1066.0,10.5,6.7,3.9
08436032,674.0,325.0,13.9,8.2,5.8
08425081,5119.0,2602.0,10.6,6.3,4.4
08425124,758.0,380.0,16.8,9.1,7.7
08436083,4938.0,2448.0,9.9,6,3.9
08437086,6751.0,3354.0,13.2,7.7,5.5
09776130,2681.0,1326.0,10.9,6.2,4.6
08435054,1036.0,544.0,10.5,6.2,4.3
08436096,4625.0,2275.0,11.3,6.6,4.7
08437105,3564.0,1779.0,10.7,6.5,4.2
08435010,1560.0,784.0,8.8,5.1,3.7
08426036,416.0,199.0,16.3,8.7,7.7
08436079,3182.0,1610.0,11.4,7.9,3.5
09776125,4226.0,2186.0,11.3,6.5,4.8
08436053,665.0,330.0,11.7,6,5.7
08417075,6386.0,3239.0,10.7,6.5,4.2
08436014,3108.0,1506.0,12.5,7.4,5.1
08435047,4246.0,2138.0,11.8,6.9,4.8
08437101,2523.0,1237.0,11.2,7.1,4.1
08119055,9368.0,4747.0,11.3,7,4.3
08125013,15727.0,7823.0,11.1,6.6,4.5
08116072,12376.0,6191.0,9.7,5.5,4.3
08116054,3415.0,1686.0,11.2,6.9,4.3
